31 96
7 0 10
0 10 3
3 0 16
1 4 13
1 20 8
21 1 15
1 16 11
1 17 10
1 11 10
27 1 8
2 20 11
9 2 10
2 21 6
15 2 3
6 2 2
2 16 13
17 2 7
7 3 8
3 24 18
3 19 5
9 3 12
21 3 1
3 10 9
3 26 1
7 4 8
14 4 16
23 5 8
5 9 3
12 5 1
5 17 8
26 5 20
6 25 10
6 20 15
27 6 13
7 29 19
23 7 4
7 24 11
22 7 9
28 8 16
8 22 20
9 24 3
17 9 8
10 14 3
28 10 15
26 10 18
25 11 8
11 24 19
11 13 19
11 12 16
17 11 19
11 27 14
12 25 14
12 23 3
14 12 9
28 12 20
30 12 3
12 18 6
12 17 15
12 26 1
13 23 1
13 22 15
13 18 4
14 28 15
14 26 1
29 15 18
19 15 2
15 21 7
15 18 15
16 25 6
16 19 7
16 30 15
16 26 19
17 20 4
17 24 1
17 18 11
18 23 6
22 18 4
19 20 4
28 19 18
29 20 15
20 24 20
28 20 4
25 21 5
21 24 18
28 21 7
30 21 13
21 27 3
23 22 9
25 23 16
23 28 20
28 24 1
30 24 13
28 25 6
25 30 6
27 25 9
29 27 8
9 10
