32 89
29 0 17
0 3 10
1 15 17
1 13 1
1 9 5
1 12 10
3 1 17
2 4 9
2 25 10
2 6 3
30 2 13
2 7 9
8 2 9
2 28 20
3 23 3
18 3 8
4 21 13
4 19 3
5 18 11
21 5 7
5 7 10
31 5 3
5 12 4
5 26 5
8 5 3
20 5 12
6 23 6
27 6 3
6 22 1
6 12 20
6 24 12
6 26 7
7 25 3
21 7 6
31 7 15
24 7 3
7 26 9
8 7 15
7 28 12
7 20 7
25 8 12
30 8 4
9 8 4
17 8 2
9 15 14
9 27 18
9 31 5
26 9 17
9 28 15
10 30 1
31 10 8
17 10 2
10 26 11
10 28 18
18 11 11
11 17 7
12 11 10
24 11 3
23 12 1
15 12 8
12 20 12
13 21 10
28 13 14
13 19 1
17 14 10
23 15 5
30 15 19
29 16 12
22 17 6
18 25 1
27 18 14
21 18 20
31 18 17
18 26 5
19 25 15
23 19 14
19 28 14
20 23 8
20 22 9
26 20 16
22 21 19
26 21 2
27 22 7
26 23 3
28 23 4
24 25 20
28 24 1
30 26 14
31 26 2
4 16
