26 75
0 24 20
13 0 13
8 0 5
19 0 17
0 15 16
16 0 3
1 10 9
13 1 16
1 14 15
7 1 9
17 1 3
11 1 18
2 5 15
2 14 6
2 8 8
22 2 9
9 2 16
2 7 12
3 10 18
13 3 6
5 3 3
3 18 9
3 8 6
17 3 7
3 11 8
14 4 11
19 4 7
4 22 17
4 9 11
4 25 10
15 4 12
7 4 15
5 20 8
5 6 8
5 12 8
5 7 9
15 6 5
21 6 1
16 6 5
10 7 10
14 7 14
7 22 2
7 21 18
19 8 9
22 8 16
23 8 3
8 15 4
9 13 3
9 17 13
24 10 18
19 11 11
15 11 7
11 21 20
12 20 12
12 18 17
12 19 11
23 12 8
13 24 1
14 13 4
22 13 16
16 13 12
17 13 20
14 18 2
25 14 9
22 15 14
15 23 15
16 15 6
16 18 18
16 21 6
17 25 1
17 21 15
22 18 8
19 22 4
24 22 4
23 24 13
22 20
