30 70
0 15 1
13 0 5
0 29 2
23 0 12
21 0 20
14 0 3
0 6 12
1 15 13
1 16 3
1 6 2
2 7 19
10 3 14
28 3 11
4 3 3
3 15 16
9 3 4
3 8 10
3 20 13
27 3 3
3 21 12
28 4 2
4 7 13
10 5 2
5 28 4
25 5 14
5 7 5
5 20 5
11 5 12
6 15 12
9 6 17
6 24 15
7 10 19
26 8 6
8 13 11
8 16 10
9 15 20
16 9 17
22 10 7
11 15 3
25 11 17
12 11 13
11 24 2
26 12 17
23 12 6
16 13 9
14 22 10
27 14 3
14 18 2
15 22 3
15 29 18
20 15 3
15 27 12
18 15 2
27 16 2
21 16 12
16 18 5
26 17 1
17 18 8
24 17 20
26 18 19
19 18 13
23 18 6
25 19 18
20 22 2
25 20 3
23 20 6
26 21 8
21 25 13
27 21 5
23 22 7
19 0
